,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2014-07-19 16:56:08.130468,2014-07-19T16-55-41-MetatoneOSCLog,3.0,301.878486,study,improvisation,iPad,2014 iPad Study Session.,,,0.2559503276434412,3,301.878486,4.332761345816183,2014-07-19T16-55-41-MetatoneOSCLog
2014-07-19 17:03:06.941374,2014-07-19T17-02-51-MetatoneOSCLog,3.0,305.324569,study,improvisation,iPad,2014 iPad Study Session.,,,0.24214660920577183,3,305.324569,4.272775062923203,2014-07-19T17-02-51-MetatoneOSCLog
2014-08-11 20:02:33.877976,2014-08-11T20-01-49-MetatoneOSCLog,3.0,533.129614,rehearsal,improvisation,iPad,"metatone rehearsal for colour music - singing bowls (charles, christina, jonathan)",portrait,,0.23131951830446043,3,533.129614,4.308882167322988,2014-08-11T20-01-49-MetatoneOSCLog
2014-08-11 20:30:48.929615,2014-08-11T20-30-18-MetatoneOSCLog,3.0,544.468246,rehearsal,improvisation,iPad,"metatone rehearsal for colour music - singing bowls (charles, christina, jonathan)",portrait,,0.27126413755150064,3,544.468246,4.458732819854168,2014-08-11T20-30-18-MetatoneOSCLog
2014-08-11 20:54:53.093791,2014-08-11T20-54-49-MetatoneOSCLog,3.0,328.199318,rehearsal,fail,iPad,"metatone rehearsal for colour music - singing bowls (charles, christina, jonathan)",portrait,,0.08739837398373984,3,328.199318,2.296597727766877,2014-08-11T20-54-49-MetatoneOSCLog
2014-08-14 18:41:12.603087,2014-08-14T18-40-57-MetatoneOSCLog,3.0,406.090691,performance,improvisation,iPad," colour music opening - singing bowls (charles, christina, jonathan)",portrait,,0.23415238489201032,3,406.090691,4.304612644396863,2014-08-14T18-40-57-MetatoneOSCLog
2014-08-14 18:50:23.809251,2014-08-14T18-50-00-MetatoneOSCLog,3.0,"2,002.011499",demonstration,improvisation,iPad,colour music opening - singing bowls demonstration (portrait),portrait,,0.3245934065027006,3,546.417655,4.35748690054351,2014-08-14T18-50-23-MetatoneOSCLog-autosplit
2014-08-14 19:02:40.780914,,,,,,,,,,0.0288659793814433,3,484.791444,0.842261947203728,2014-08-14T19-02-40-MetatoneOSCLog-autosplit
2014-08-14 19:14:47.714817,,,,,,,,,,0.3358336900236327,3,538.105933,4.4463078823871305,2014-08-14T19-14-47-MetatoneOSCLog-autosplit
2014-08-23 16:47:50.317145,2014-08-23T16-47-33-MetatoneOSCLog,3.0,555.752182,rehearsal,composition,iPad,metatone colour music rehearsal - amores with different apps,,,0.15347721822541965,3,555.752182,2.7307414062181827,2014-08-23T16-47-33-MetatoneOSCLog
2014-08-23 17:00:02.325541,2014-08-23T17-00-00-MetatoneOSCLog,1.0,28.527736,rehearsal,fail,iPad,metatone colour music rehearsal,,,0.07142857142857142,1,28.527736,1.1663428898406687,2014-08-23T17-00-00-MetatoneOSCLog
2014-08-23 17:03:25.327045,2014-08-23T17-03-00-MetatoneOSCLog,3.0,574.595359,rehearsal,composition,correspondences,metatone colour music rehearsal - correspondences with birds nest (first go),,,0.31249612365055524,3,574.595359,4.056070759030365,2014-08-23T17-03-00-MetatoneOSCLog
2014-08-23 17:18:58.322993,2014-08-23T17-18-00-MetatoneOSCLog,1.0,26.054093,rehearsal,fail,iPad,metatone colour music rehearsal,,,0.07692307692307693,1,26.054093,1.386614174262459,2014-08-23T17-18-00-MetatoneOSCLog
2014-08-23 17:27:25.313216,2014-08-23T17-27-00-MetatoneOSCLog,1.0,6.535975,rehearsal,fail,iPad,metatone colour music rehearsal,,,0.3333333333333333,1,6.535975,1.2516291673878228,2014-08-23T17-27-00-MetatoneOSCLog
2014-08-23 17:39:30.349798,2014-08-23T17-38-05-MetatoneOSCLog,3.0,430.176441,rehearsal,composition,percussion,metatone colour music rehearsal - using birds nest (Second Correspondences rehearsal),landscape,,0.33842720505710705,3,430.176441,4.450740789755814,2014-08-23T17-38-05-MetatoneOSCLog
2014-08-23 17:50:48.789577,2014-08-23T17-50-37-MetatoneOSCLog,3.0,398.562517,rehearsal,composition,iPad,metatone colour music rehearsal - using Phase Rings for Gesture Study #1,portrait,,0.2554333295300866,3,398.562517,4.11024281995625,2014-08-23T17-50-37-MetatoneOSCLog
2014-08-24 14:01:41.489372,2014-08-24T14-01-09-MetatoneOSCLog,4.0,514.364828,rehearsal,composition,percussion,colour music concert rehearsal - correspondences,landscape,,0.32342014375622663,4,514.364828,4.24452065859016,2014-08-24T14-01-09-MetatoneOSCLog
2014-08-24 14:36:48.750693,2014-08-24T14-36-35-MetatoneOSCLog,4.0,419.385884,rehearsal,composition,iPad,colour music concert rehearsal - gesture study,portrait,,0.2512397716441255,4,419.385884,4.356474523289339,2014-08-24T14-36-35-MetatoneOSCLog
2014-08-24 15:05:24.532787,2014-08-24T15-04-15-MetatoneOSCLog,4.0,427.985845,performance,composition,iPad,colour music concert gesture study,portrait,,0.18134667417441286,4,427.985845,3.9862101073599274,2014-08-24T15-04-15-MetatoneOSCLog
2014-08-24 15:15:22.633761,2014-08-24T15-13-11-MetatoneOSCLog,4.0,441.553372,performance,improvisation,iPad,colour music concert birds nest,landscape,,0.24099666395536637,4,441.553372,4.344910406759087,2014-08-24T15-13-11-MetatoneOSCLog
2014-08-24 15:23:48.189557,2014-08-24T15-23-02-MetatoneOSCLog,4.0,446.019655,performance,improvisation,iPad,colour music concert snow music,landscape,,0.25711135408450697,4,446.019655,4.385034530058058,2014-08-24T15-23-02-MetatoneOSCLog
2014-08-24 15:32:56.216753,2014-08-24T15-31-37-MetatoneOSCLog,4.0,500.851624,performance,improvisation,iPad,colour music concert singing bowls,portrait,,0.19880414984553743,4,500.851624,4.26412994752531,2014-08-24T15-31-37-MetatoneOSCLog
2014-08-24 15:45:01.750883,2014-08-24T15-44-55-MetatoneOSCLog,3.0,81.207986,performance,composition,iPad,colour music concert Cage Amores,landscape,,0.1440329218106996,3,81.207986,2.028801065091512,2014-08-24T15-44-55-MetatoneOSCLog
2014-08-24 15:47:43.664464,2014-08-24T15-47-42-MetatoneOSCLog,4.0,500.118212,performance,composition,percussion,colour music concert correspondences,landscape,,0.2801576005349156,4,500.118212,4.118512220940033,2014-08-24T15-47-42-MetatoneOSCLog
2014-08-24 15:56:07.952397,2014-08-24T15-56-07-MetatoneOSCLog,4.0,912.519977,demonstration,improvisation,iPad,colour music concert - audience demo session.,,,0.2895208713081525,4,612.008947,4.577905216231641,2014-08-24T15-56-07-MetatoneOSCLog-autosplit
2014-08-24 16:10:02.141891,,,,,,,,,,0.10897435897435898,2,78.330483,1.9820230234446092,2014-08-24T16-10-02-MetatoneOSCLog-autosplit
2014-12-12 12:06:19.528851,2014-12-12T12-05-53-GestureTargetLog-CPM,1.0,699.783175,data_collection,composition,iPad,gesture data collection with harness - charles,,,0.03650324827942499,1,699.783175,3.4372748073035155,2014-12-12T12-05-53-GestureTargetLog-CPM
2015-02-07 17:20:17.103662,2015-02-07T17-19-45-MetatoneOSCLog-JG,1.0,698.746008,data_collection,composition,iPad,gesture data collection with harness - jonathan,,,0.20001153373931194,1,698.746008,4.2095061056439125,2015-02-07T17-19-45-MetatoneOSCLog-JG
2015-03-20 13:40:47.684507,2015-03-20T13-40-47-MetatoneOSCLog-autosplit,6.0,422.836389,rehearsal,composition,iPad,ANU New Music Ensemble - gesture study (rehearsal),,,0.19967745077688312,6,422.836389,4.149433808721678,2015-03-20T13-40-47-MetatoneOSCLog-autosplit
