time,jonathan,charles_ipadair
2014-03-13 16:26:27,0,2
2014-03-13 16:26:28,0,2
2014-03-13 16:26:29,0,1
2014-03-13 16:26:30,0,1
2014-03-13 16:26:31,0,2
2014-03-13 16:26:32,0,2
2014-03-13 16:26:33,0,1
2014-03-13 16:26:34,0,1
2014-03-13 16:26:35,0,1
2014-03-13 16:26:36,0,1
2014-03-13 16:26:37,0,1
2014-03-13 16:26:38,0,1
2014-03-13 16:26:39,0,1
2014-03-13 16:26:40,0,1
2014-03-13 16:26:41,0,1
2014-03-13 16:26:42,0,1
2014-03-13 16:26:43,0,1
2014-03-13 16:26:44,0,1
2014-03-13 16:26:45,0,1
2014-03-13 16:26:46,0,1
2014-03-13 16:26:47,0,1
2014-03-13 16:26:48,0,1
2014-03-13 16:26:49,0,2
2014-03-13 16:26:50,0,2
2014-03-13 16:26:51,0,2
2014-03-13 16:26:52,0,2
2014-03-13 16:26:53,0,2
2014-03-13 16:26:54,0,0
2014-03-13 16:26:55,0,0
2014-03-13 16:26:56,0,0
2014-03-13 16:26:57,0,0
2014-03-13 16:26:58,0,0
2014-03-13 16:26:59,0,0
2014-03-13 16:27:00,0,0
2014-03-13 16:27:01,0,4
2014-03-13 16:27:02,0,4
2014-03-13 16:27:03,0,4
2014-03-13 16:27:04,0,7
2014-03-13 16:27:05,0,7
2014-03-13 16:27:06,0,7
2014-03-13 16:27:07,0,7
2014-03-13 16:27:08,0,7
2014-03-13 16:27:09,0,7
2014-03-13 16:27:10,0,7
2014-03-13 16:27:11,0,7
2014-03-13 16:27:12,0,7
2014-03-13 16:27:13,0,7
2014-03-13 16:27:14,0,7
2014-03-13 16:27:15,0,7
2014-03-13 16:27:16,0,7
2014-03-13 16:27:17,0,7
2014-03-13 16:27:18,0,7
2014-03-13 16:27:19,0,7
