time,charles,jonathan,yvonne,christina
2013-08-03 17:20:54,7,2,2,4
2013-08-03 17:20:55,7,2,2,4
2013-08-03 17:20:56,7,2,2,4
2013-08-03 17:20:57,7,2,2,4
2013-08-03 17:20:58,7,2,2,4
2013-08-03 17:20:59,7,2,2,4
2013-08-03 17:21:00,7,2,2,4
2013-08-03 17:21:01,7,2,2,4
2013-08-03 17:21:02,7,2,2,4
2013-08-03 17:21:03,7,2,2,4
2013-08-03 17:21:04,7,2,2,4
2013-08-03 17:21:05,7,2,2,4
2013-08-03 17:21:06,7,2,2,4
2013-08-03 17:21:07,7,2,2,4
2013-08-03 17:21:08,7,2,2,4
2013-08-03 17:21:09,7,2,2,4
2013-08-03 17:21:10,7,2,2,4
2013-08-03 17:21:11,7,2,2,4
2013-08-03 17:21:12,7,2,2,4
2013-08-03 17:21:13,7,2,2,4
2013-08-03 17:21:14,7,2,2,4
2013-08-03 17:21:15,7,2,2,4
2013-08-03 17:21:16,7,2,2,0
2013-08-03 17:21:17,7,2,2,0
2013-08-03 17:21:18,7,2,2,0
2013-08-03 17:21:19,7,2,2,0
2013-08-03 17:21:20,7,2,2,0
2013-08-03 17:21:21,7,2,8,0
2013-08-03 17:21:22,7,2,4,0
2013-08-03 17:21:23,7,2,8,0
2013-08-03 17:21:24,7,2,7,0
2013-08-03 17:21:25,7,2,7,0
2013-08-03 17:21:26,7,2,7,0
2013-08-03 17:21:27,7,2,8,0
2013-08-03 17:21:28,7,2,8,0
2013-08-03 17:21:29,7,2,8,0
2013-08-03 17:21:30,7,2,8,0
2013-08-03 17:21:31,7,2,8,0
2013-08-03 17:21:32,7,2,8,0
2013-08-03 17:21:33,7,2,8,0
2013-08-03 17:21:34,7,2,8,0
2013-08-03 17:21:35,7,2,8,0
2013-08-03 17:21:36,7,2,0,0
2013-08-03 17:21:37,7,2,0,0
2013-08-03 17:21:38,7,2,0,0
2013-08-03 17:21:39,7,2,0,0
2013-08-03 17:21:40,7,2,0,0
2013-08-03 17:21:41,7,2,0,0
2013-08-03 17:21:42,7,2,0,0
2013-08-03 17:21:43,7,2,0,0
2013-08-03 17:21:44,7,2,0,0
2013-08-03 17:21:45,7,2,0,0
2013-08-03 17:21:46,7,2,0,0
2013-08-03 17:21:47,7,2,0,0
2013-08-03 17:21:48,7,2,0,0
2013-08-03 17:21:49,7,2,0,0
2013-08-03 17:21:50,7,2,0,0
2013-08-03 17:21:51,7,2,0,0
2013-08-03 17:21:52,7,2,0,0
2013-08-03 17:21:53,7,2,0,0
2013-08-03 17:21:54,7,2,0,0
2013-08-03 17:21:55,7,2,0,0
2013-08-03 17:21:56,7,2,0,0
2013-08-03 17:21:57,7,2,0,0
2013-08-03 17:21:58,7,2,0,0
2013-08-03 17:21:59,7,2,0,0
2013-08-03 17:22:00,5,2,0,0
