time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:28:21,6,4,2,1
2015-05-01 18:28:22,8,4,2,1
2015-05-01 18:28:23,8,6,2,1
2015-05-01 18:28:24,8,6,2,1
2015-05-01 18:28:25,8,6,2,1
2015-05-01 18:28:26,8,6,2,1
2015-05-01 18:28:27,8,6,2,1
2015-05-01 18:28:28,8,3,2,1
2015-05-01 18:28:29,8,0,2,1
2015-05-01 18:28:30,8,0,2,1
2015-05-01 18:28:31,7,0,2,1
2015-05-01 18:28:32,6,0,2,2
2015-05-01 18:28:33,6,0,2,2
2015-05-01 18:28:34,6,0,2,1
2015-05-01 18:28:35,6,2,2,1
2015-05-01 18:28:36,6,2,2,1
2015-05-01 18:28:37,4,2,2,1
2015-05-01 18:28:38,4,2,2,1
2015-05-01 18:28:39,4,2,2,1
2015-05-01 18:28:40,4,2,2,1
2015-05-01 18:28:41,4,2,2,1
2015-05-01 18:28:42,4,2,2,1
2015-05-01 18:28:43,4,2,2,1
2015-05-01 18:28:44,7,2,2,1
2015-05-01 18:28:45,7,2,2,1
2015-05-01 18:28:46,7,0,2,2
2015-05-01 18:28:47,7,0,2,2
2015-05-01 18:28:48,7,0,2,2
2015-05-01 18:28:49,7,0,2,2
2015-05-01 18:28:50,7,0,2,2
2015-05-01 18:28:51,0,0,2,2
2015-05-01 18:28:52,0,0,2,2
2015-05-01 18:28:53,0,0,2,2
2015-05-01 18:28:54,0,0,2,2
2015-05-01 18:28:55,0,0,2,2
2015-05-01 18:28:56,0,0,2,0
2015-05-01 18:28:57,0,0,2,0
2015-05-01 18:28:58,0,0,2,0
2015-05-01 18:28:59,0,0,2,0
2015-05-01 18:29:00,0,0,2,0
