time,christina,yvonne,jonathan,charles
2014-04-28 19:29:43,3,0,0,0
2014-04-28 19:29:44,3,0,0,0
2014-04-28 19:29:45,3,0,0,0
2014-04-28 19:29:46,3,0,0,0
2014-04-28 19:29:47,3,0,0,0
2014-04-28 19:29:48,3,0,0,0
2014-04-28 19:29:49,3,0,0,0
2014-04-28 19:29:50,3,0,0,0
2014-04-28 19:29:51,3,0,0,0
2014-04-28 19:29:52,3,0,0,0
2014-04-28 19:29:53,3,0,0,0
2014-04-28 19:29:54,4,0,0,0
2014-04-28 19:29:55,2,0,0,0
2014-04-28 19:29:56,2,0,0,0
2014-04-28 19:29:57,2,0,2,0
2014-04-28 19:29:58,2,0,2,0
2014-04-28 19:29:59,2,0,2,0
2014-04-28 19:30:00,1,0,2,0
2014-04-28 19:30:01,2,0,1,0
2014-04-28 19:30:02,3,0,1,0
2014-04-28 19:30:03,3,0,1,0
2014-04-28 19:30:04,3,0,1,0
2014-04-28 19:30:05,3,0,1,0
2014-04-28 19:30:06,3,0,1,0
2014-04-28 19:30:07,3,0,1,0
2014-04-28 19:30:08,3,0,1,0
2014-04-28 19:30:09,3,0,0,0
2014-04-28 19:30:10,4,0,0,0
2014-04-28 19:30:11,4,0,0,0
2014-04-28 19:30:12,2,0,0,0
2014-04-28 19:30:13,2,0,0,0
2014-04-28 19:30:14,4,0,0,0
2014-04-28 19:30:15,4,0,0,0
2014-04-28 19:30:16,2,0,0,0
2014-04-28 19:30:17,2,0,0,0
2014-04-28 19:30:18,4,0,0,0
2014-04-28 19:30:19,2,0,0,0
2014-04-28 19:30:20,2,0,0,0
2014-04-28 19:30:21,3,0,0,0
2014-04-28 19:30:22,3,0,0,0
2014-04-28 19:30:23,3,0,0,0
2014-04-28 19:30:24,3,0,0,0
2014-04-28 19:30:25,3,0,0,0
2014-04-28 19:30:26,1,0,0,0
2014-04-28 19:30:27,2,0,0,0
2014-04-28 19:30:28,2,0,0,0
2014-04-28 19:30:29,2,0,0,0
2014-04-28 19:30:30,2,0,0,0
2014-04-28 19:30:31,2,0,0,0
2014-04-28 19:30:32,2,0,0,0
