time,charles_ipadair,charles,christina,yvonne,jonathan_iPad2,jonathan
2014-03-15 12:42:20,3,4,4,4,3,4
2014-03-15 12:42:21,3,4,4,4,3,4
2014-03-15 12:42:22,3,4,4,4,3,4
2014-03-15 12:42:23,3,4,4,4,3,4
2014-03-15 12:42:24,3,4,4,4,3,4
2014-03-15 12:42:25,3,4,4,4,3,4
2014-03-15 12:42:26,3,4,4,4,3,4
2014-03-15 12:42:27,3,4,4,4,3,4
2014-03-15 12:42:28,3,4,4,4,3,4
2014-03-15 12:42:29,3,4,4,4,3,4
2014-03-15 12:42:30,3,4,4,4,3,4
2014-03-15 12:42:31,3,4,4,4,3,4
2014-03-15 12:42:32,3,4,4,4,3,4
2014-03-15 12:42:33,3,4,4,3,3,4
2014-03-15 12:42:34,3,4,4,3,3,4
2014-03-15 12:42:35,3,4,4,3,3,4
2014-03-15 12:42:36,3,4,4,4,3,4
2014-03-15 12:42:37,3,4,4,3,3,4
2014-03-15 12:42:38,3,4,4,4,3,4
2014-03-15 12:42:39,3,4,4,4,4,4
2014-03-15 12:42:40,3,4,4,4,7,4
2014-03-15 12:42:41,3,4,4,4,4,4
2014-03-15 12:42:42,3,4,4,4,4,4
2014-03-15 12:42:43,3,4,4,4,4,4
2014-03-15 12:42:44,3,4,4,4,4,4
2014-03-15 12:42:45,4,4,6,4,4,7
2014-03-15 12:42:46,7,6,7,4,7,7
2014-03-15 12:42:47,7,6,7,7,7,7
2014-03-15 12:42:48,7,6,7,7,7,7
2014-03-15 12:42:49,8,8,8,8,8,8
2014-03-15 12:42:50,7,6,7,7,7,7
2014-03-15 12:42:51,7,6,7,6,7,7
2014-03-15 12:42:52,7,6,7,6,7,7
2014-03-15 12:42:53,8,8,7,8,8,8
2014-03-15 12:42:54,7,6,7,6,7,7
2014-03-15 12:42:55,7,6,7,6,7,7
2014-03-15 12:42:56,7,6,7,6,7,7
2014-03-15 12:42:57,7,6,7,6,7,7
2014-03-15 12:42:58,7,6,7,6,8,7
2014-03-15 12:42:59,7,7,7,6,8,7
2014-03-15 12:43:00,8,8,7,8,8,8
2014-03-15 12:43:01,7,7,5,8,8,7
2014-03-15 12:43:02,8,8,5,8,8,8
2014-03-15 12:43:03,7,7,2,7,7,7
2014-03-15 12:43:04,7,7,2,7,8,7
2014-03-15 12:43:05,7,7,2,7,7,7
2014-03-15 12:43:06,8,8,5,8,8,8
2014-03-15 12:43:07,7,7,7,7,7,7
2014-03-15 12:43:08,7,7,7,7,7,7
2014-03-15 12:43:09,7,7,7,6,7,7
2014-03-15 12:43:10,8,8,7,8,8,8
2014-03-15 12:43:11,7,7,7,6,7,7
2014-03-15 12:43:12,7,7,7,6,7,7
2014-03-15 12:43:13,7,7,7,7,7,7
2014-03-15 12:43:14,8,8,8,8,8,8
2014-03-15 12:43:15,7,7,7,7,7,7
2014-03-15 12:43:16,7,7,7,7,7,7
2014-03-15 12:43:17,8,7,7,7,7,7
2014-03-15 12:43:18,1,8,8,8,8,8
2014-03-15 12:43:19,1,7,8,8,3,7
2014-03-15 12:43:20,1,7,8,8,3,7
2014-03-15 12:43:21,1,7,8,8,1,3
2014-03-15 12:43:22,1,8,8,8,1,8
2014-03-15 12:43:23,1,8,8,8,1,1
2014-03-15 12:43:24,1,8,8,8,1,1
2014-03-15 12:43:25,1,8,8,8,1,1
2014-03-15 12:43:26,1,8,8,8,1,1
2014-03-15 12:43:27,1,8,8,1,1,1
2014-03-15 12:43:28,1,8,8,1,1,1
2014-03-15 12:43:29,1,8,8,1,1,1
2014-03-15 12:43:30,1,8,8,1,1,1
2014-03-15 12:43:31,1,8,8,1,1,1
2014-03-15 12:43:32,1,8,8,1,1,1
2014-03-15 12:43:33,1,8,8,8,1,1
2014-03-15 12:43:34,1,8,8,8,1,1
2014-03-15 12:43:35,1,8,8,8,1,8
2014-03-15 12:43:36,1,8,8,8,1,1
2014-03-15 12:43:37,1,8,8,8,1,1
2014-03-15 12:43:38,1,8,8,8,1,1
2014-03-15 12:43:39,1,8,1,8,1,1
2014-03-15 12:43:40,1,8,3,8,1,1
2014-03-15 12:43:41,1,8,3,1,1,1
2014-03-15 12:43:42,1,1,1,1,1,1
2014-03-15 12:43:43,1,1,1,1,1,1
2014-03-15 12:43:44,1,1,1,1,1,1
2014-03-15 12:43:45,1,1,1,1,1,1
2014-03-15 12:43:46,1,1,1,1,1,1
2014-03-15 12:43:47,1,1,1,1,1,1
2014-03-15 12:43:48,1,1,1,1,1,1
2014-03-15 12:43:49,1,1,1,1,1,1
2014-03-15 12:43:50,1,1,1,1,1,1
2014-03-15 12:43:51,1,1,1,1,1,1
2014-03-15 12:43:52,1,1,1,1,1,3
2014-03-15 12:43:53,1,1,1,1,1,8
2014-03-15 12:43:54,1,1,1,1,1,2
2014-03-15 12:43:55,1,1,1,1,1,0
2014-03-15 12:43:56,1,1,1,1,1,3
2014-03-15 12:43:57,1,1,1,1,1,3
2014-03-15 12:43:58,1,1,1,1,1,1
2014-03-15 12:43:59,1,1,1,1,1,1
